#Full OTU Counts																																																					
#OTU ID	ago1.27-2-RACINE	ago1.27-3-RACINE	ago1.27-5-RACINE	ago1.27-6-RACINE	ago1.27-B-SOL	ago1.27-C-SOL	ago1.27-D-SOL	ago1.27-E-SOL	dcl1.2-1-RACINE	dcl1.2-3-SOL	dcl1.2-3b-RACINE	dcl1.2-4-SOL	dcl1.2-B-RACINE	dcl1.2-C-RACINE	dcl1.2-D-SOL	dcl1.2-E-SOL	hen1.4-3-RACINE	hen1.4-5b-RACINE	hen1.4-6-RACINE	hen1.4-6b-RACINE	hen1.4-B-SOL	hen1.4-C-SOL	hen1.4-D-SOL	hen1.4-E-SOL	RTL1.1-RACINE	RTL1.2-RACINE	RTL1.3-RACINE	RTL1.7-RACINE	RTL1.B-SOL	RTL1.D-SOL	RTL1.Db-SOL	RTL1.E-SOL	RTL1myc.1-RACINE	RTL1myc.3-RACINE	RTL1myc.4-RACINE	RTL1myc.6-RACINE	RTL1myc.A-SOL	RTL1myc.C-SOL	RTL1myc.D-SOL	RTL1myc.E-SOL	SOL.CTRL-A-SOL	SOL.CTRL-C-SOL	SOL.CTRL-D-SOL	SOL.CTRL-E-SOL	WTdu14.1-RACINE	WTdu14.1-SOL	WTdu14.2-RACINE	WTdu14.3-SOL	WTdu6.5-1-RACINE	WTdu6.5-2-RACINE	WTdu6.5-B-SOL	WTdu6.5-C-SOL	taxonomy
34	0	0	19	0	49	0	62	148	0	0	0	98	76	100	0	123	285	159	96	0	328	0	178	442	0	125	36	142	95	0	0	93	0	0	56	0	0	14	0	0	0	87	42	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
37	10	0	31	77	292	0	104	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	8	25	28	166	0	0	0	0	69	0	527	0	7	0	11	528	0	0	0	0	203	0	65	46	0	0	0	0	"k__Bacteria;"
39	0	0	0	0	0	0	0	0	523	0	473	865	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Chrysomelidae;g__Phaedon;"
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	391	293	315	180	117	539	0	"k__Bacteria;"
41	0	0	87	125	10	0	0	0	87	0	94	181	0	0	0	0	0	24	120	0	0	0	0	34	32	169	185	50	0	21	0	0	84	74	85	101	52	42	97	0	0	0	0	0	0	0	219	0	0	0	0	0	"k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;"
43	77	0	66	127	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	116	83	0	0	0	0	0	156	101	208	75	0	0	0	0	0	0	0	0	0	0	230	0	104	0	0	0	"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Chrysomelidae;g__Phaedon;"
44	0	0	0	4	0	0	41	0	0	0	0	0	0	29	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	65	151	64	56	666	87	272	85	0	0	63	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
46	0	0	0	0	219	87	128	226	0	0	0	12	13	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	164	213	74	63	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
47	25	0	0	0	79	22	89	0	50	0	0	63	52	22	0	0	0	0	0	0	0	0	0	0	0	0	54	0	95	132	0	0	32	61	0	128	77	126	101	0	43	0	18	0	0	0	219	0	0	0	0	0	"k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Spondylomoraceae;g__Pyrobotrys;"
50	76	0	0	171	32	47	80	889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
51	91	0	0	0	92	17	19	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	41	62	114	108	187	91	76	0	0	0	0	0	15	63	0	0	25	14	0	"k__Bacteria;"
52	75	0	0	0	0	0	0	89	168	0	70	234	0	23	0	0	0	0	0	0	0	0	0	0	70	150	83	114	50	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	"k__Bacteria;p__Proteobacteria;"
54	66	0	18	31	0	0	0	0	0	0	0	0	155	65	79	69	0	0	0	0	132	92	0	0	0	0	0	0	120	130	66	75	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	82	"k__Bacteria;"
56	57	0	91	122	38	0	0	26	0	0	0	0	0	0	0	0	79	16	183	18	0	0	0	30	129	37	0	24	0	0	0	0	95	42	88	0	26	18	0	0	0	0	0	0	0	0	112	0	36	0	0	0	"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Chrysomelidae;g__Phaedon;"
57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	36	14	608	321	197	0	0	0	0	0	0	33	0	0	0	0	0	"k__Bacteria;"
59	0	0	24	0	0	0	299	0	27	0	25	40	0	7	0	25	0	27	0	122	0	7	0	537	0	0	30	62	0	0	0	0	0	0	18	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria;"
65	0	0	0	0	0	0	0	0	51	0	39	40	42	0	0	101	0	0	0	0	0	0	0	0	109	0	92	0	0	17	0	0	42	10	9	0	33	0	0	0	0	0	0	0	126	0	324	0	0	0	0	0	"k__Bacteria;"
