#Full OTU Counts																																																																																																	
#OTU ID	aR1	aR2	aR3	aR4	aR5	aR6	aR7	aR8	aS1	aS2	aS3	aS4	aS5	aS6	aS7	aS8	aSN1	aSN2	aSN3	aSN4	aSN5	aSN6	aSN7	aSN8	bR1	bR2	bR3	bR4	bR5	bR6	bR7	bR8	bS1	bS2	bS3	bS4	bS5	bS6	bS7	bS8	bSN1	bSN2	bSN3	bSN4	bSN5	bSN6	bSN7	bSN8	cR1	cR2	cR3	cR4	cR5	cR6	cR7	cR8	cS1	cS2	cS3	cS4	cS5	cS6	cS7	cS8	cSN1	cSN2	cSN3	cSN4	cSN5	cSN6	cSN7	cSN8	ctrlR1	ctrlR2	ctrlR3	ctrlR4	ctrlR5	ctrlR6	ctrlR7	ctrlR8	ctrlS1	ctrlS2	ctrlS3	ctrlS4	ctrlS5	ctrlS6	ctrlS7	ctrlS8	ctrlSN1	ctrlSN2	ctrlSN3	ctrlSN4	ctrlSN5	ctrlSN6	ctrlSN7	ctrlSN8	taxonomy
21	0	50	0	0	0	0	0	0	21	652	0	0	29	208	0	18	0	33	583	0	0	0	0	0	0	0	0	0	58	0	0	0	0	22	0	466	341	252	459	212	304	1120	0	198	0	0	52	0	0	0	0	0	4	0	0	0	0	186	204	176	76	0	476	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	293	152	172	849	178	203	659	272	0	53	0	0	412	0	0	"k__Fungi;"
24	97	51	46	197	40	52	108	33	0	160	70	0	89	59	58	0	83	0	350	88	0	448	92	148	55	0	0	55	44	40	0	71	0	46	37	143	49	0	188	43	114	257	89	43	194	195	87	469	65	44	87	46	63	86	0	41	114	45	116	48	124	129	107	0	161	63	0	239	133	96	296	195	78	50	0	120	59	0	140	0	140	149	0	0	74	0	58	82	100	57	81	94	256	263	136	68	"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;"
25	0	0	0	0	0	0	0	0	576	0	158	0	57	365	0	1875	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	343	81	0	0	54	0	0	5	0	0	0	0	0	0	0	0	0	0	551	257	501	697	399	0	0	0	37	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	729	0	0	0	974	0	0	0	62	0	0	97	0	265	"k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Spizellomycetales;f__Spizellomycetaceae;g__Triparticalcar;"
26	0	0	0	0	0	0	0	0	0	511	176	0	0	0	93	401	0	54	470	112	0	463	0	97	0	0	0	0	0	0	0	0	0	65	68	0	60	0	344	36	153	357	38	0	308	153	0	497	0	0	0	0	0	0	0	0	195	83	498	0	381	413	134	91	141	0	0	228	309	78	326	102	0	0	0	0	0	0	0	0	0	448	0	0	123	0	0	82	0	0	0	0	400	0	159	0	"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiomycetes_ord_Incertae_sedis;f__Myxotrichaceae;g__Pseudogymnoascus;"
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	183	364	0	317	0	268	240	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	275	60	0	612	360	0	643	479	0	429	84	0	94	0	0	0	0	61	178	0	266	0	217	0	0	0	0	0	0	0	225	123	0	0	0	90	96	0	0	0	191	0	0	312	0	298	376	0	0	0	223	0	168	217	0	356	359	251	"k__Fungi;"
28	86	42	182	0	129	46	0	213	271	0	162	0	0	99	65	288	105	0	225	94	0	190	0	99	0	119	0	0	0	0	0	0	0	52	0	0	52	0	252	0	76	0	47	38	0	0	73	584	71	0	520	169	0	647	0	121	177	50	241	133	0	544	114	77	0	0	0	103	139	73	138	85	0	0	0	0	0	0	0	18	174	0	137	79	176	0	91	127	84	0	0	0	0	147	101	55	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium;"
29	84	77	0	242	483	38	144	0	0	0	203	0	0	181	0	264	0	64	295	135	282	370	0	0	103	89	43	53	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	127	0	0	62	0	0	0	0	0	0	0	0	0	31	0	352	354	0	301	0	189	0	48	0	0	41	183	0	557	517	226	0	189	0	0	0	284	51	58	68	495	0	290	60	"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus;"
33	0	0	0	0	0	0	0	0	190	0	0	0	11	24	15	469	0	0	778	9	0	0	0	295	14	0	13	0	15	0	0	0	0	213	300	392	196	80	474	106	0	649	0	0	74	193	0	0	0	0	0	0	0	0	0	0	0	35	296	0	36	7	11	0	0	5	0	14	218	72	146	0	0	0	0	8	0	0	152	0	0	290	175	0	197	0	663	64	16	0	83	0	50	0	0	0	"k__Fungi;p__Zygomycota;"
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1227	201	0	0	0	0	0	0	5335	0	0	0	0	0	0	0	0	"k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Lobulomycetales;f__Lobulomycetaceae;"
36	0	0	0	100	0	253	0	0	0	0	0	115	0	3250	56	0	0	0	75	0	0	163	0	72	0	0	0	0	0	0	0	0	0	110	21	69	28	0	0	0	41	76	70	65	45	53	0	214	0	0	0	0	0	0	0	10	0	0	262	69	335	98	0	0	24	42	0	112	0	0	0	0	0	0	0	0	16	0	0	0	226	57	46	0	259	0	71	0	0	14	18	37	62	0	0	36	"k__Fungi;p__Zygomycota;c__Mortierellomycotina_cls_Incertae_sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;"
